"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00044979","1968-07-12","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  367",",,0","  194",",,0",,,,,,,"  163",",,0,1000",,,,,,,"  178",",,0","  322",",,0","  256",",,0,1000","  138",",,0"
"USC00044979","1968-07-13","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  344",",,0","  161",",,0",,,,,,,"  142",",,0,1000",,,,,,,"  161",",,0","  317",",,0","  244",",,0,1000","  212",",,0"
"USC00044979","1968-07-14","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  328",",,0","  189",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  156",",,0","  311",",,0","  222",",,0,1000","  285",",,0"
"USC00044979","1968-07-15","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  306",",,0","  156",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  144",",,0","  306",",,0","  200",",,0,1000","  315",",,0"
"USC00044979","1968-07-16","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  311",",,0","  167",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  172",",,0","  344",",,0","  228",",,0,1000","  163",",,0"
"USC00044979","1968-07-17","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  333",",,0","  156",",,0",,,,,,,"  132",",,0,1000",,,,,,,"  161",",,0","  294",",,0","  239",",,0,1000","  156",",,0"
"USC00044979","1968-07-18","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  339",",,0","  200",",,0",,,,,,,"  122",",,0,1000",,,,,,,"  183",",,0","  350",",,0","  278",",,0,1000","  164",",,0"
"USC00044979","1968-07-19","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  378",",,0","  228",",,0",,,,,,,"  124",",,0,1000",,,,,,,"  194",",,0","  367",",,0","  300",",,0,1000","  150",",,0"
"USC00044979","1968-07-20","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  394",",,0","  217",",,0",,,,,,,"  173",",,0,1000",,,,,,,"  167",",,0","  344",",,0","  300",",,0,1000","  190",",,0"
"USC00044979","1968-07-21","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  383",",,0","  200",",,0",,,,,,,"  157",",,0,1000",,,,,,,"  172",",,0","  344",",,0","  272",",,0,1000","  232",",,0"
"USC00044979","1968-07-22","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  378",",,0","  189",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  139",",,0","  333",",,0","  256",",,0,1000","   71",",,0"
"USC00044979","1968-07-23","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  361",",,0","  178",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  150",",,0","  333",",,0","  256",",,0,1000","  159",",,0"
"USC00044979","1968-07-24","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  372",",,0","  161",",,0",,,,,,,"  160",",,0,1000",,,,,,,"  144",",,0","  322",",,0","  211",",,0,1000","  171",",,0"
"USC00044979","1968-07-25","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  333",",,0","  161",",,0",,,,,,,"  160",",,0,1000",,,,,,,"  133",",,0","  306",",,0","  272",",,0,1000","  172",",,0"
"USC00044979","1968-07-26","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  333",",,0","  183",",,0",,,,,,,"  145",",,0,1000",,,,,,,"  150",",,0","  317",",,0","  261",",,0,1000","  161",",,0"
"USC00044979","1968-07-27","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  356",",,0","  189",",,0",,,,,,,"  150",",,0,1000",,,,,,,"  167",",,0","  328",",,0","  256",",,0,1000","  153",",,0"
"USC00044979","1968-07-28","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  372",",,0","  222",",,0",,,,,,,"  163",",,0,1000",,,,,,,"  189",",,0","  333",",,0","  256",",,0,1000","  148",",,0"
"USC00044979","1968-07-29","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  333",",,0","  211",",,0",,,,,,,"  102",",,0,1000",,,,,,,"  178",",,0","  267",",,0","  283",",,0,1000","   61",",,0"
"USC00044979","1968-07-30","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  378",",,0","  222",",,0",,,,,,,"  165",",,0,1000",,,,,,,"  194",",,0","  339",",,0","  272",",,0,1000","  182",",,0"
"USC00044979","1968-07-31","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  372",",,0","  183",",,0",,,,,,,"  173",",,0,1000",,,,,,,"  172",",,0","  339",",,0","  233",",,0,1000","  201",",,0"
"USC00044979","1968-08-01","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  139",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  150",",,0","  317",",,0","  222",",,0,1000","  161",",,0"
"USC00044979","1968-08-02","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  328",",,0","  167",",,0",,,,,,,"  140",",,0,1000",,,,,,,"  172",",,0","  328",",,0","  228",",,0,1000","  154",",,0"
"USC00044979","1968-08-03","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  161",",,0",,,,,,,"  150",",,0,1000",,,,,,,"  156",",,0","  333",",,0","  250",",,0,1000","  150",",,0"
"USC00044979","1968-08-04","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  161",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  150",",,0","  322",",,0","  233",",,0,1000","  153",",,0"
"USC00044979","1968-08-05","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  150",",,0",,,,,,,"  152",",,0,1000",,,,,,,"  156",",,0","  322",",,0","  211",",,0,1000","  146",",,0"
"USC00044979","1968-08-06","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  172",",,0",,,,,,,"  155",",,0,1000",,,,,,,"  144",",,0","  317",",,0","  256",",,0,1000","  185",",,0"
"USC00044979","1968-08-07","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  367",",,0","  206",",,0",,,,,,,"  160",",,0,1000",,,,,,,"  167",",,0","  333",",,0","  294",",,0,1000","  142",",,0"
"USC00044979","1968-08-08","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  372",",,0","  200",",,0",,,,,,,"  155",",,0,1000",,,,,,,"  183",",,0","  339",",,0","  250",",,0,1000","  113",",,0"
"USC00044979","1968-08-09","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  344",",,0","  156",",,0",,,,,,,"  147",",,0,1000",,,,,,,"  144",",,0","  322",",,0","  267",",,0,1000","  138",",,0"
"USC00044979","1968-08-10","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  194",",,0",,,,,,,"  137",",,0,1000",,,,,,,"  167",",,0","  322",",,0","  261",",,0,1000","  129",",,0"
"USC00044979","1968-08-11","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  167",",,0",,,,,,,"  145",",,0,1000",,,,,,,"  167",",,0","  322",",,0","  228",",,0,1000","  177",",,0"
"USC00044979","1968-08-12","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  333",",,0","  150",",,0",,,,,,,"  135",",,0,1000",,,,,,,"  156",",,0","  317",",,0","  189",",,0,1000","  143",",,0"
"USC00044979","1968-08-13","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  294",",,0","  128",",,0",,,,,,,"  124",",,0,1000",,,,,,,"  122",",,0","  294",",,0","  178",",,0,1000","  246",",,0"
"USC00044979","1968-08-14","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  222",",,0","  122",",,0",,,,,,,"  114",",,0,1000",,,,,,,"  122",",,0","  256",",,0","  194",",,0,1000","  315",",,0"
"USC00044979","1968-08-15","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  272",",,0","  156",",,0",,,,,,,"   86",",,0,1000",,,,,,,"  144",",,0","  278",",,0","  206",",,0,1000","  177",",,0"
"USC00044979","1968-08-16","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  289",",,0","  178",",,0",,,,,,,"  140",",,0,1000",,,,,,,"  139",",,0","  300",",,0","  222",",,0,1000","  253",",,0"
"USC00044979","1968-08-17","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  278",",,0","  133",",,0",,,,,,,"  145",",,0,1000",,,,,,,"  111",",,0","  272",",,0","  239",",,0,1000","  426",",,0"
"USC00044979","1968-08-18","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  283",",,0","  167",",,0",,,,,,,"  130",",,0,1000",,,,,,,"  172",",,0","  283",",,0","  244",",,0,1000","  212",",,0"
"USC00044979","1968-08-19","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  300",",,0","  150",",,0",,,,,,,"   89",",,0,1000",,,,,,,"  122",",,0","  311",",,0","  217",",,0,1000","  169",",,0"
"USC00044979","1968-08-20","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  261",",,0","  117",",,0",,,,,,,"   97",",,0,1000",,,,,,,"  117",",,0","  239",",,0","  183",",,0,1000","  253",",,0"
"USC00044979","1968-08-21","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  244",",,0","  122",",,0",,,,,,,"   91",",,0,1000",,,,,,,"  122",",,0","  272",",,0","  189",",,0,1000","  154",",,0"
"USC00044979","1968-08-22","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","   20",",,0,1000","    0",",,0","    0",",,0","  239",",,0","  117",",,0",,,,,,,"   38",",,0,1000",,,,,,,"  111",",,0","  272",",,0","  183",",,0,1000","  140",",,0"
"USC00044979","1968-08-23","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  272",",,0","  139",",,0",,,,,,,"  107",",,0,1000",,,,,,,"  128",",,0","  278",",,0","  244",",,0,1000","  185",",,0"
"USC00044979","1968-08-24","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  294",",,0","  167",",,0",,,,,,,"  107",",,0,1000",,,,,,,"  144",",,0","  294",",,0","  272",",,0,1000","  130",",,0"
"USC00044979","1968-08-25","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  106",",,0",,,,,,,"   99",",,0,1000",,,,,,,"  117",",,0","  317",",,0","  206",",,0,1000","  185",",,0"
"USC00044979","1968-08-26","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  283",",,0","  133",",,0",,,,,,,"   81",",,0,1000",,,,,,,"  128",",,0","  278",",,0","  206",",,0,1000","  117",",,0"
"USC00044979","1968-08-27","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  294",",,0","  139",",,0",,,,,,,"  107",",,0,1000",,,,,,,"  133",",,0","  294",",,0","  228",",,0,1000","  108",",,0"
"USC00044979","1968-08-28","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  311",",,0","  161",",,0",,,,,,,"  114",",,0,1000",,,,,,,"  156",",,0","  306",",,0","  250",",,0,1000","  185",",,0"
"USC00044979","1968-08-29","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  328",",,0","  183",",,0",,,,,,,"  119",",,0,1000",,,,,,,"  156",",,0","  306",",,0","  289",",,0,1000","  200",",,0"
"USC00044979","1968-08-30","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  350",",,0","  228",",,0",,,,,,,"  130",",,0,1000",,,,,,,"  161",",,0","  322",",,0","  306",",,0,1000","  145",",,0"
"USC00044979","1968-08-31","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  400",",,0","  189",",,0",,,,,,,"  168",",,0,1000",,,,,,,"  183",",,0","  339",",,0","  278",",,0,1000","  187",",,0"
"USC00044979","1968-11-01","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  183",",,0","   61",",,0",,,,,,,"   41",",,0,1000",,,,,,,"   72",",,0","  183",",,0","  133",",,0,1000","  129",",,0"
"USC00044979","1968-11-02","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  189",",,0","  111",",,0",,,,,,,"   18",",,0,1000",,,,,,,"   89",",,0","  167",",,0","  156",",,0,1000","   60",",,0"
"USC00044979","1968-11-03","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","  259",",,0,1000","    0",",,0","    0",",,0","  172",",,0","  122",",,0",,,,,,,"    3",",,0,1000",,,,,,,"  122",",,0","  144",",,0","  144",",,0,1000","   76",",,0"
"USC00044979","1968-11-04","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  178",",,0","   83",",,0",,,,,,,"   25",",,0,1000",,,,,,,"   72",",,0","  189",",,0","  111",",,0,1000","  113",",,0"
"USC00044979","1968-11-05","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  161",",,0","   78",",,0",,,,,,,"   25",",,0,1000",,,,,,,"   56",",,0","  178",",,0","  144",",,0,1000","   77",",,0"
"USC00044979","1968-11-06","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  178",",,0","   78",",,0",,,,,,,"   20",",,0,1000",,,,,,,"   89",",,0","  178",",,0","  128",",,0,1000","  108",",,0"
"USC00044979","1968-11-07","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","   33",",,0,1000","    0",",,0","    0",",,0","  150",",,0","   83",",,0",,,,,,,"    5",",,0,1000",,,,,,,"   83",",,0","  150",",,0","  139",",,0,1000","   97",",,0"
"USC00044979","1968-11-08","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  178",",,0","   78",",,0",,,,,,,"   28",",,0,1000",,,,,,,"   78",",,0","  183",",,0","  156",",,0,1000","  124",",,0"
"USC00044979","1968-11-09","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  200",",,0","   94",",,0",,,,,,,"   30",",,0,1000",,,,,,,"   94",",,0","  189",",,0","  156",",,0,1000","   97",",,0"
"USC00044979","1968-11-10","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  194",",,0","   94",",,0",,,,,,,"   20",",,0,1000",,,,,,,"   94",",,0","  194",",,0","  144",",,0,1000","   98",",,0"
"USC00044979","1968-11-11","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  217",",,0","  100",",,0",,,,,,,"   25",",,0,1000",,,,,,,"  100",",,0","  233",",,0","  161",",,0,1000","   97",",,0"
"USC00044979","1968-11-12","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  217",",,0","  106",",,0",,,,,,,"    5",",,0,1000",,,,,,,"   94",",,0","  133",",,0","  133",",,0,1000","  151",",,0"
"USC00044979","1968-11-13","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  161",",,0","   56",",,0",,,,,,,"   41",",,0,1000",,,,,,,"   50",",,0","  167",",,0","  106",",,0,1000","  182",",,0"
"USC00044979","1968-11-14","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  144",",,0","   72",",,0",,,,,,,"   48",",,0,1000",,,,,,,"   33",",,0","  128",",,0","  117",",,0,1000","  220",",,0"
"USC00044979","1968-11-15","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","  109",",,0,1000","    0",",,0","    0",",,0","  122",",,0","   67",",,0",,,,,,,"    5",",,0,1000",,,,,,,"   33",",,0","   50",",I,0","   89",",,0,1000","  216",",,0"
"USC00044979","1968-11-16","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    3",",,0,1000","    0",",,0","    0",",,0","  139",",,0","   83",",,0",,,,,,,"   23",",,0,1000",,,,,,,"   50",",,0","  144",",,0","  111",",,0,1000","  114",",,0"
"USC00044979","1968-11-17","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  144",",,0","   83",",,0",,,,,,,"    8",",,0,1000",,,,,,,"   94",",,0","  150",",,0","  128",",,0,1000","   48",",,0"
"USC00044979","1968-11-18","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  156",",,0","   83",",,0",,,,,,,"   13",",,0,1000",,,,,,,"  106",",,0","  178",",,0","  128",",,0,1000","   61",",,0"
"USC00044979","1968-11-19","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    3",",,0,1000","    0",",,0","    0",",,0","  178",",,0","  111",",,0",,,,,,,"   10",",,0,1000",,,,,,,"  111",",,0","  183",",,0","  122",",,0,1000","   69",",,0"
"USC00044979","1968-11-20","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  156",",,0","   94",",,0",,,,,,,"   10",",,0,1000",,,,,,,"  106",",,0","  161",",,0","  111",",,0,1000","   58",",,0"
"USC00044979","1968-11-21","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  128",",,0","   78",",,0",,,,,,,"    5",",,0,1000",,,,,,,"   94",",,0","  128",",,0","   94",",,0,1000","   58",",,0"
"USC00044979","1968-11-22","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  133",",,0","   78",",,0",,,,,,,"    8",",,0,1000",,,,,,,"   94",",,0","  133",",,0","   94",",,0,1000","   45",",,0"
"USC00044979","1968-11-23","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  133",",,0","   72",",,0",,,,,,,"   10",",,0,1000",,,,,,,"   89",",,0","  144",",,0","  122",",,0,1000","   84",",,0"
"USC00044979","1968-11-24","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  150",",,0","   72",",,0",,,,,,,"   23",",,0,1000",,,,,,,"   78",",,0","  150",",,0","  122",",,0,1000","   56",",,0"
"USC00044979","1968-11-25","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  161",",,0","   67",",,0",,,,,,,"   43",",,0,1000",,,,,,,"   78",",,0","  161",",,0","  100",",,0,1000","  246",",,0"
"USC00044979","1968-11-26","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  139",",,0","   39",",,0",,,,,,,"   33",",,0,1000",,,,,,,"   39",",,0","  133",",,0","   89",",,0,1000","  198",",,0"
"USC00044979","1968-11-27","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  128",",,0","   17",",,0",,,,,,,"   25",",,0,1000",,,,,,,"   33",",,0","  128",",,0","   83",",,0,1000","  108",",,0"
"USC00044979","1968-11-28","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    5",",,0,1000","    0",",,0","    0",",,0","  133",",,0","   11",",,0",,,,,,,"   20",",,0,1000",,,,,,,"   28",",,0","  122",",,0","   89",",,0,1000","  119",",,0"
"USC00044979","1968-11-29","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  139",",,0","   11",",,0",,,,,,,"   15",",,0,1000",,,,,,,"   28",",,0","  128",",,0","   56",",,0,1000","  105",",,0"
"USC00044979","1968-11-30","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  144",",,0","   44",",,0",,,,,,,"   18",",,0,1000",,,,,,,"   28",",,0","  122",",,0","  106",",,0,1000","  140",",,0"
"USC00044979","1968-12-01","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    3",",,0,1000","    0",",,0","    0",",,0","  133",",,0","   61",",,0",,,,,,,"   15",",,0,1000",,,,,,,"   67",",,0","  122",",,0","  106",",,0,1000","   77",",,0"
"USC00044979","1968-12-02","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  144",",,0","   44",",,0",,,,,,,"   36",",,0,1000",,,,,,,"   94",",,0","  139",",,0","  100",",,0,1000","  182",",,0"
"USC00044979","1968-12-03","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  111",",,0","  -22",",,0",,,,,,,"   13",",,0,1000",,,,,,,"   11",",,0","  111",",,0","   61",",,0,1000","  169",",,0"
