"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00422252","1974-04-08","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  106",",,0","  -50",",,0",,,,,,,,,"  -22",",,0,0800",,,,,,
"USC00422252","1974-04-09","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  150",",,0","  -28",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00422252","1974-04-10","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   -6",",,0",,,,,,,,,"    6",",,0,0800",,,,,,
"USC00422252","1974-04-11","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0","T,,0,0800","    0","T,,0","    0",",,0","  128",",,0","  -11",",,0",,,,,,,,,"   17",",,0,0800",,,,,,
"USC00422252","1974-04-12","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  133",",,0","  -17",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00422252","1974-04-13","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0","T,,0,0800","    0","T,,0","    0",",,0","  139",",,0","  -22",",,0",,,,,,,,,"   17",",,0,0800",,,,,,
"USC00422252","1974-04-14","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  128",",,0","  -17",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00422252","1974-04-15","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0","T,,0,0800","    0","T,,0","    0",",,0","  122",",,0","  -50",",,0",,,,,,,,,"    0",",,0,0800",,,,,,
"USC00422252","1974-04-16","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  144",",,0","  -22",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00422252","1974-04-17","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","  -17",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-04-18","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","    6",",,0",,,,,,,,,"   50",",,0,0800",,,,,,
"USC00422252","1974-04-19","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","    0",",,0",,,,,,,,,"   72",",,0,0800",,,,,,
"USC00422252","1974-04-20","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","   25",",,0,0800","    0",",,0","    0",",,0","  144",",,0","    0",",,0",,,,,,,,,"   44",",,0,0800",,,,,,
"USC00422252","1974-04-21","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  100",",,0","  -22",",,0",,,,,,,,,"   56",",,0,0800",,,,,,
"USC00422252","1974-04-22","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  144",",,0","  -22",",,0",,,,,,,,,"   22",",,0,0800",,,,,,
"USC00422252","1974-04-23","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   22",",,0",,,,,,,,,"   44",",,0,0800",,,,,,
"USC00422252","1974-04-24","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  228",",,0","    6",",,0",,,,,,,,,"   72",",,0,0800",,,,,,
"USC00422252","1974-04-25","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  228",",,0","   28",",,0",,,,,,,,,"   72",",,0,0800",,,,,,
"USC00422252","1974-04-26","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  228",",,0","   39",",,0",,,,,,,,,"   89",",,0,0800",,,,,,
"USC00422252","1974-04-27","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","  -22",",,0",,,,,,,,,"   50",",,0,0800",,,,,,
"USC00422252","1974-04-28","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  122",",,0","  -44",",,0",,,,,,,,,"    0",",,0,0800",,,,,,
"USC00422252","1974-04-29","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  144",",,0","  -11",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-04-30","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","    0",",,0",,,,,,,,,"   67",",,0,0800",,,,,,
"USC00422252","1974-05-01","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  222",",,0","   28",",,0",,,,,,,,,"   67",",,0,0800",,,,,,
"USC00422252","1974-05-02","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  244",",,0","   44",",,0",,,,,,,,,"  111",",,0,0800",,,,,,
"USC00422252","1974-05-03","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   50",",,0",,,,,,,,,"   78",",,0,0800",,,,,,
"USC00422252","1974-05-04","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  217",",,0","   17",",,0",,,,,,,,,"   56",",,0,0800",,,,,,
"USC00422252","1974-05-05","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  206",",,0","   22",",,0",,,,,,,,,"  106",",,0,0800",,,,,,
"USC00422252","1974-05-06","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  239",",,0","   56",",,0",,,,,,,,,"  111",",,0,0800",,,,,,
"USC00422252","1974-05-07","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  261",",,0","   89",",,0",,,,,,,,,"  161",",,0,0800",,,,,,
"USC00422252","1974-05-08","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  256",",,0","   78",",,0",,,,,,,,,"  133",",,0,0800",,,,,,
"USC00422252","1974-05-09","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  283",",,0","  100",",,0",,,,,,,,,"  156",",,0,0800",,,,,,
"USC00422252","1974-05-10","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  267",",,0","   78",",,0",,,,,,,,,"  150",",,0,0800",,,,,,
"USC00422252","1974-05-11","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  200",",,0","   56",",,0",,,,,,,,,"  117",",,0,0800",,,,,,
"USC00422252","1974-05-12","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  228",",,0","   61",",,0",,,,,,,,,"   89",",,0,0800",,,,,,
"USC00422252","1974-05-13","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  272",",,0","   50",",,0",,,,,,,,,"   61",",,0,0800",,,,,,
"USC00422252","1974-05-14","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  139",",,0","   11",",,0",,,,,,,,,"   56",",,0,0800",,,,,,
"USC00422252","1974-05-15","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   44",",,0",,,,,,,,,"  133",",,0,0800",,,,,,
"USC00422252","1974-05-16","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  233",",,0","    6",",,0",,,,,,,,,"   61",",,0,0800",,,,,,
"USC00422252","1974-05-17","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  239",",,0","   56",",,0",,,,,,,,,"  106",",,0,0800",,,,,,
"USC00422252","1974-05-18","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  228",",,0","   67",",,0",,,,,,,,,"  128",",,0,0800",,,,,,
"USC00422252","1974-05-19","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  239",",,0","  100",",,0",,,,,,,,,"  161",",,0,0800",,,,,,
"USC00422252","1974-05-20","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  222",",,0","  -17",",,0",,,,,,,,,"    0",",,0,0800",,,,,,
"USC00422252","1974-05-21","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  122",",,0","   -6",",,0",,,,,,,,,"   67",",,0,0800",,,,,,
"USC00422252","1974-05-22","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","    6",",,0",,,,,,,,,"   78",",,0,0800",,,,,,
"USC00422252","1974-05-23","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  217",",,0","   39",",,0",,,,,,,,,"  111",",,0,0800",,,,,,
"USC00422252","1974-05-24","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  222",",,0","   44",",,0",,,,,,,,,"  117",",,0,0800",,,,,,
"USC00422252","1974-05-25","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  250",",,0","   94",",,0",,,,,,,,,"  133",",,0,0800",,,,,,
"USC00422252","1974-05-26","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  289",",,0","   61",",,0",,,,,,,,,"  144",",,0,0800",,,,,,
"USC00422252","1974-05-27","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","   13",",,0,0800","    0",",,0","    0",",,0","  294",",,0","   89",",,0",,,,,,,,,"  150",",,0,0800",,,,,,
"USC00422252","1974-05-28","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  283",",,0","   83",",,0",,,,,,,,,"  211",",,0,0800",,,,,,
"USC00422252","1974-05-29","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  300",",,0","   72",",,0",,,,,,,,,"  111",",,0,0800",,,,,,
"USC00422252","1974-05-30","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  283",",,0","   67",",,0",,,,,,,,,"  189",",,0,0800",,,,,,
"USC00422252","1974-05-31","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  239",",,0","   39",",,0",,,,,,,,,"  100",",,0,0800",,,,,,
"USC00422252","1974-06-01","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  261",",,0","   50",",,0",,,,,,,,,"  111",",,0,0800",,,,,,
"USC00422252","1974-06-02","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  272",",,0","   61",",,0",,,,,,,,,"  161",",,0,0800",,,,,,
"USC00422252","1974-06-03","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  267",",,0","   94",",,0",,,,,,,,,"  150",",,0,0800",,,,,,
"USC00422252","1974-06-04","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  278",",,0","  122",",,0",,,,,,,,,"  211",",,0,0800",,,,,,
"USC00422252","1974-06-05","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  272",",,0","  117",",,0",,,,,,,,,"  144",",,0,0800",,,,,,
"USC00422252","1974-06-06","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  194",",,0","   78",",,0",,,,,,,,,"  111",",,0,0800",,,,,,
"USC00422252","1974-06-07","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   50",",,0",,,,,,,,,"   94",",,0,0800",,,,,,
"USC00422252","1974-06-08","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   28",",,0",,,,,,,,,"  100",",,0,0800",,,,,,
"USC00422252","1974-06-09","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   17",",,0",,,,,,,,,"  144",",,0,0800",,,,,,
"USC00422252","1974-06-10","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  250",",,0","   78",",,0",,,,,,,,,"  144",",,0,0800",,,,,,
"USC00422252","1974-06-11","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  294",",,0","   83",",,0",,,,,,,,,"  244",",,0,0800",,,,,,
"USC00422252","1974-06-12","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  294",",,0","  111",",,0",,,,,,,,,"  211",",,0,0800",,,,,,
"USC00422252","1974-06-13","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  306",",,0","  111",",,0",,,,,,,,,"  183",",,0,0800",,,,,,
"USC00422252","1974-06-14","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  344",",,0","  133",",,0",,,,,,,,,"  267",",,0,0800",,,,,,
"USC00422252","1974-06-15","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  339",",,0","  117",",,0",,,,,,,,,"  211",",,0,0800",,,,,,
"USC00422252","1974-06-16","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  322",",,0","  150",",,0",,,,,,,,,"  233",",,0,0800",,,,,,
"USC00422252","1974-06-17","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  311",",,0","  122",",,0",,,,,,,,,"  222",",,0,0800",,,,,,
"USC00422252","1974-06-18","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  311",",,0","  117",",,0",,,,,,,,,"  178",",,0,0800",,,,,,
"USC00422252","1974-06-19","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  328",",,0","  144",",,0",,,,,,,,,"  211",",,0,0800",,,,,,
"USC00422252","1974-06-20","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  322",",,0","  117",",,0",,,,,,,,,"  267",",,0,0800",,,,,,
"USC00422252","1974-06-21","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  333",",,0","  117",",,0",,,,,,,,,"  200",",,0,0800",,,,,,
"USC00422252","1974-06-22","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  311",",,0","  111",",,0",,,,,,,,,"  167",",,0,0800",,,,,,
"USC00422252","1974-06-23","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  339",",,0","  150",",,0",,,,,,,,,"  183",",,0,0800",,,,,,
"USC00422252","1974-06-24","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  344",",,0","  122",",,0",,,,,,,,,"  189",",,0,0800",,,,,,
"USC00422252","1974-06-25","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  350",",,0","  161",",,0",,,,,,,,,"  311",",,0,0800",,,,,,
"USC00422252","1974-06-26","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  344",",,0","  161",",,0",,,,,,,,,"  211",",,0,0800",,,,,,
"USC00422252","1974-06-27","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  339",",,0","  111",",,0",,,,,,,,,"  172",",,0,0800",,,,,,
"USC00422252","1974-06-28","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  344",",,0","  117",",,0",,,,,,,,,"  178",",,0,0800",,,,,,
"USC00422252","1974-06-29","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  350",",,0","  117",",,0",,,,,,,,,"  183",",,0,0800",,,,,,
"USC00422252","1974-06-30","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  350",",,0","  122",",,0",,,,,,,,,"  194",",,0,0800",,,,,,
"USC00422252","1974-07-01","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  350",",,0","  122",",,0",,,,,,,,,"  194",",,0,0800",,,,,,
"USC00422252","1974-07-02","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  333",",,0","  133",",,0",,,,,,,,,"  189",",,0,0800",,,,,,
"USC00422252","1974-07-03","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  317",",,0","  111",",,0",,,,,,,,,"  167",",,0,0800",,,,,,
"USC00422252","1974-07-04","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  289",",,0","  100",",,0",,,,,,,,,"  183",",,0,0800",,,,,,
"USC00422252","1974-07-05","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  328",",,0","  100",",,0",,,,,,,,,"  217",",,0,0800","    1",",,0",,,,
"USC00422252","1974-07-06","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  322",",,0","  167",",,0",,,,,,,,,"  211",",,0,0800",,,,,,
"USC00422252","1974-07-07","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  311",",,0","  133",",,0",,,,,,,,,"  222",",,0,0800",,,,,,
"USC00422252","1974-07-08","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  311",",,0","  122",",,0",,,,,,,,,"  194",",,0,0800",,,,,,
"USC00422252","1974-07-09","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0","T,,0,0800","    0",",,0","    0",",,0","  300",",,0","  133",",,0",,,,,,,,,"  206",",,0,0800",,,,,,
"USC00422252","1974-07-10","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  322",",,0","  144",",,0",,,,,,,,,"  217",",,0,0800",,,,,,
"USC00422252","1974-07-11","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  311",",,0","  122",",,0",,,,,,,,,"  156",",,0,0800",,,,,,
