"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00423182","1953-01-13","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  133",",,0","   56",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-01-14","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US",,,"    0",",,0","    0",",,0","   56",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-15","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US",,,"    0","T,,0","    0","T,,0","   33",",,0","  -11",",,0","    2",",,0",,,"  307",",,0",,,,,,,,,,,,,,,,
"USC00423182","1953-01-16","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   66",",,0","   76",",,0","   76",",,0","   56",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-17","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","   25",",,0","   72",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-18","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   51",",,0","    0",",,0","    0",",,0","   94",",,0","   33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-19","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   86",",,0","    0",",,0","    0",",,0","   94",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-20","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   15",",,0","    0","T,,0","    0",",,0","  122",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-01-21","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   44",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-22","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    5",",,0","    0",",,0","    0",",,0","   61",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-23","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","   89",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-24","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  128",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-25","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","   28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-26","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  100",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-01-27","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   44",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-28","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-29","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0","T,,0","    0",",,0","  111",",,0","   17",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USC00423182","1953-01-30","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","   78",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-31","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","   94",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-01","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   83",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-02","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  139",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-03","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","   28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-04","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  111",",,0","   28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-05","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-06","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  100",",,0","   28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-07","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  122",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-08","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-09","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   39",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-10","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","   33",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-11","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   33",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-12","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   50",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-13","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   17",",,0","  -50",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-14","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-02-15","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   39",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-16","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   56",",,0","  -72",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-17","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   56",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-18","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   33",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-02-19","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0","T,,0","    0","T,,0","  -11",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-02-20","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  -22",",,0","  -83",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-02-21","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   22",",,0"," -122",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-22","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   72",",,0","  -89",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-02-23","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   39",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-02-24","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   56",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-25","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   50",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-26","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","  -44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-27","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-02-28","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-01","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   56",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-03-02","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   13",",,0","    0","T,,0","    0",",,0","    6",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-03","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0","T,,0","    0",",,0","    0",",,0","  -61",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-03-04","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   78",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-05","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  111",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-06","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  122",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-07","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  128",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-08","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-09","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-10","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-11","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  128",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-12","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  133",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-13","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   25",",,0","    0","T,,0","    0","T,,0","   44",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0"
"USC00423182","1953-03-14","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","   56",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-15","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  122",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-16","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  167",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-17","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","   39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-18","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   89",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-19","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-20","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   20",",,0","    0","T,,0","    0","T,,0","   44",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-21","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    5",",,0","    0","T,,0","    0","T,,0","   28",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-22","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   10",",,0","    0","T,,0","    0","T,,0","   61",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-23","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   10",",,0","    0",",,0","    0",",,0","  133",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-24","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  194",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-25","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  206",",,0","   72",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-26","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  194",",,0","   28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-27","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  228",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-28","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  200",",,0","   61",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-29","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-30","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   84",",,0","    0",",,0","    0",",,0","   83",",,0","   39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-03-31","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    8",",,0","    0",",,0","    0",",,0","  128",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-01","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  128",",,0","   33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-02","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  100",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-03","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  161",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-04","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  122",",,0","   33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-05","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   94",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-06","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    8",",,0","    0",",,0","    0",",,0","   67",",,0","   39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-07","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   48",",,0","    0",",,0","    0",",,0","   61",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-08","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","   50",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-09","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0","T,,0","    0",",,0","   56",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-10","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0","T,,0","    0",",,0","   61",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-11","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   50",",,0","  -22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-12","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   72",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-13","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0","T,,0","    0",",,0","  133",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-14","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0","T,,0","    0",",,0","  111",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-15","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  156",",,0","   -6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-16","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  200",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-17","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US",,,"    0",",,0","    0",",,0","   67",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-18","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US",,,"    0",",,0","    0",",,0","  111",",,0","   56",",,0","    2",",,0",,,"   43",",,0",,,,,,,,,,,,,,,,
"USC00423182","1953-04-19","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    8",",,0","    0",",,0","    0",",,0","  194",",,0","   33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-20","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  244",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-21","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  250",",,0","   89",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-22","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  233",",,0","  100",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-23","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  200",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-24","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  183",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-25","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  217",",,0","   39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-26","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  244",",,0","  111",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-27","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  189",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-28","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","  152",",,0","    0",",,0","    0",",,0","   83",",,0","   67",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-29","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","  122",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-04-30","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","   46",",,0","    0","T,,0","    0",",,0","  100",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-01","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   78",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-02","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","  117",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-03","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","  122",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-04","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0","T,,0","    0",",,0","    0",",,0","  161",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-05","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  194",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-06","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  250",",,0","   67",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-07","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  206",",,0","  117",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-08","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  194",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-05-09","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  100",",,0","   56",",,0",,,,,,,,,,,,,,,,,,,,,,
